# 3d layout of every node in the WeakC4 graph.
# Format: one line per node: position,x,y,z. The root's position is empty.

,0.0,0.0,0.0
4,-0.006429909067408381,25.295528160529965,30.46014417760973
41,-8.007010011831518,47.88858808601794,35.331162910322675
415,-16.604128397265153,65.84468092144945,39.14690721073564
4151,-18.83056668778381,71.22758624141561,39.84901675085239
4152,-14.037438296005755,71.78345468148116,41.75727600722553
4153,-20.444426428734953,77.89254304184422,45.111508216767774
41535,-21.45779743442882,85.80960031843485,51.21864267004645
415351,-26.510571708765102,84.46018742478189,52.200819627223986
4153516,-26.67065071095026,82.26558989786497,53.666239615287985
41535167,-28.64671521867428,79.06078016769658,55.95250242865123
415352,-27.60030624908003,85.7828129895045,49.5551726903818
4153524,-25.298337824127028,88.6563155206507,47.37755823525652
41535241,-27.846546208693876,82.98821174051996,45.037745239611084
41535242,-29.458924545345173,83.46556083485831,49.098151125866735
41535243,-32.07167655981685,84.35227568812151,47.61399513909145
41535244,-31.580317019216196,84.9591302340633,44.746476399397885
41535245,-25.843416845083897,88.11215366224059,47.380953871021006
41535247,-32.27814858061538,87.92618460344023,48.08126592825146
415353,-24.320316160350387,87.25421373001807,54.75906300631589
4153535,-22.74366514549813,86.77076465090774,58.337281469186294
41535355,-22.17120345847819,86.73226250015236,61.92237937551054
415353556,-21.549466611855944,86.65680816734722,65.41622433672202
4153535567,-20.743663105139095,86.63103083820329,70.56037246640766
415354,-21.799371418191072,85.91921121718453,51.17656277057165
415355,-23.999328144117655,88.8155169429953,49.265580934164454
4153554,-30.280546136276964,90.65742024146627,45.139920350246406
41535541,-20.498171692295116,91.45369449150823,45.908350897997266
41535543,-26.3009219682523,92.43247584878921,47.78155086708654
41535544,-20.93479390563218,88.4018541582259,46.45407347180163
41535545,-22.554748394357908,93.98976240402233,47.628683666474785
41535547,-23.428983166805175,92.03737358119729,50.19520669579625
415357,-29.060355192674443,93.06053276466214,56.22069261944876
4153573,-29.948455177540513,97.89763588396328,61.25066547579037
41535731,-35.003281095936686,104.4090589327361,68.01551162703306
41535732,-29.96338965373803,97.88991616611663,61.277686196078236
41535733,-30.448054651030233,101.99249239900476,63.76730321218279
